"Test Suite","Test Case",Version,Platform,Priority,Build,"Assigned To","Execution Result","Execution Date","Tested By",Notes,Duration,"Execution Type","Execution ID","Bug ID",HAS_ATTACHMENT,"CEV Value","Test Case Type"
"ARCHIVE > WORKING D > TESTING",ARC1:RPT-OBBRN-TC530,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 20:54:22","Mwaimu Mtingele","23 TEST",,Manual,81581,,FALSE,New,Positive
"ARCHIVE > WORKING D > TESTING",ARC2:CASA-RPBI-106,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 20:18:20","Mwaimu Mtingele",test,,Manual,81577,,FALSE,"High risk customers",Positive
"ARCHIVE > WORKING D > TESTING",ARC3:CASA-RPBI-25,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:03:12","Mwaimu Mtingele","ANOTHER TESSSSST",,Manual,81582,,FALSE,"List of cancelled TD",Positive
"ARCHIVE > WORKING D > TESTING",ARC4:RPT-OBBRN-TC529,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:20:40","Mwaimu Mtingele","ANOTHER TEST 0023",,Manual,81587,,FALSE,New,Positive
"ARCHIVE > WORKING D > TESTING",ARC979:CHAN_MKONONI-TC01,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 20:52:12","Mwaimu Mtingele","TEST 0023",,Manual,81580,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC980:CHAN_MKONONI-TC02,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 19:59:37","Mwaimu Mtingele",TEAST,,Manual,81575,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC980:CHAN_MKONONI-TC02,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 20:09:28","Mwaimu Mtingele","THIS IS A TEST",,Manual,81576,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC981:CHAN_MKONONI-TC03,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:07:36","Mwaimu Mtingele","ANOTHER ONE",,Manual,81583,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC982:CHAN_MKONONI-TC04,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:45:43","Mwaimu Mtingele","TEST TC04",,Manual,81593,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC983:CHAN_MKONONI-TC05,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:50:29","Mwaimu Mtingele","TC05 TEST -- NEW INTEGRATION",,Manual,81594,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC983:CHAN_MKONONI-TC05,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 22:23:06","Mwaimu Mtingele","TEST TEST TEST",,Manual,81596,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC984:ATM-TC1,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 20:49:42","Mwaimu Mtingele","ANOTHER TEST",,Manual,81579,,FALSE,New,"CA04 - NMB PERSONAL ACCOUNT (RETAIL): Verify New Card Request Issuance to disallowed card type which is Chap Chap Card"
"ARCHIVE > WORKING D > TESTING",ARC985:ATM-TC10,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 20:21:49","Mwaimu Mtingele","THIS IS A TEST",,Manual,81578,,FALSE,New,"SA02 - NMB MTOTO ACCOUNT (RETAIL): Verify New Card Request Issuance to disallowed card type which is World Card"
"ARCHIVE > WORKING D > TESTING",ARC986:ATM-TC100,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:28:43","Mwaimu Mtingele","100 TEST",,Manual,81589,,FALSE,Authorize,"CA20 - NMB CHAP CHAP ACCOUNT (RETAIL): Authorize card replacement (U-Reissue) to allowed card type which is Diaspora Bonus Card"
"ARCHIVE > WORKING D > TESTING",ARC987:ATM-TC102,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:23:51","Mwaimu Mtingele","ONE MORE TEST",,Manual,81588,,FALSE,Authorize,"CA34 - NMB CONNECT ACCOUNT (RETAIL): Authorize card replacement (U-Reissue) to allowed card type which is Simba VIP Card"
"ARCHIVE > WORKING D > TESTING",ARC988:ATM-TC103,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:39:51","Mwaimu Mtingele","103 TEST FROM NEW INTEGRATION",,Manual,81592,,FALSE,Authorize,"CA34 - NMB FANIKIWA ACCOUNT (RETAIL): Authorize card replacement (U-Reissue) to allowed card type which is Business Card"
"ARCHIVE > WORKING D > TESTING",ARC989:ATM-TC105,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:34:57","Mwaimu Mtingele","105 TEST",,Manual,81591,,FALSE,Search,"Verify if the status of an expired card automatically changes to E-Expired"
"ARCHIVE > WORKING D > TESTING",ARC990:ATM-TC106,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:31:29","Mwaimu Mtingele","106 TEST",,Manual,81590,,FALSE,Search,"Verify if the card status of a dormant account automatically changes to B-Blocked"
"ARCHIVE > WORKING D > TESTING",ARC990:ATM-TC106,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-24 11:22:02","Mwaimu Mtingele","TEST 001",,Manual,81598,,FALSE,Search,"Verify if the card status of a dormant account automatically changes to B-Blocked"
"ARCHIVE > WORKING D > TESTING",ARC991:ATM-TC107,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:18:35","Mwaimu Mtingele","TEST TO REDMINE",,Manual,81586,,FALSE,Search,"Verify if the card status sync between postilion and CBS - Check if a blocked card in postilion is also blocked in CBS"
"ARCHIVE > WORKING D > TESTING",ARC992:ATM-TC108,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:14:08","Mwaimu Mtingele","ANOTHER TEST THROUGH CUSTOM INTEGRATION",,Manual,81585,,FALSE,New,"Verify if card request can not be saved if card status is not selected"
"ARCHIVE > WORKING D > TESTING",ARC992:ATM-TC108,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-26 16:42:18","Mwaimu Mtingele","TESTLINK CONNECTIVITY TEST",,Manual,81630,,FALSE,New,"Verify if card request can not be saved if card status is not selected"
"ARCHIVE > WORKING D > TESTING",ARC992:ATM-TC108,1,"No Platform",Low,"ARC 1 BUILD",,Blocked,"2026-03-06 20:29:33","Mwaimu Mtingele","TESTLINK INTEGRAITON TEST",,Manual,81641,,FALSE,New,"Verify if card request can not be saved if card status is not selected"
"ARCHIVE > WORKING D > TESTING",ARC992:ATM-TC108,1,"No Platform",Low,"ARC 1 BUILD",,Blocked,"2026-03-06 20:47:26","Mwaimu Mtingele","TESTLINK INTEGRATION TEST",,Manual,81642,,FALSE,New,"Verify if card request can not be saved if card status is not selected"
"ARCHIVE > WORKING D > TESTING",ARC992:ATM-TC108,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-03-06 21:08:19","Mwaimu Mtingele","TESTLINK INTEGRATION TEST",,Manual,81643,,FALSE,New,"Verify if card request can not be saved if card status is not selected"
"ARCHIVE > WORKING D > TESTING",ARC993:ATM-TC11,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-24 17:08:28","Mwaimu Mtingele","ANOTHER TEST ISSUE",,Manual,81602,,FALSE,New,"CA34 - NMB CONNECT ACCOUNT (RETAIL): Verify New Card Request Issuance to disallowed card type which is Chap Chap Machinga Card"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-24 21:36:48","Mwaimu Mtingele","ONE MORE TEST",,Manual,81610,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-25 06:44:31","Mwaimu Mtingele","SOME TEST",,Manual,81612,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-25 06:44:49","Mwaimu Mtingele","SOME TEST",,Manual,81613,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-25 06:44:53","Mwaimu Mtingele","SOME TEST",,Manual,81614,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-26 17:00:18","Mwaimu Mtingele","TESTLINK CONNECTIVITY TEST",,Manual,81631,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-27 07:03:36","Mwaimu Mtingele","TESTLINK CONNECTIVITY TEST",,Manual,81632,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Blocked,"2026-03-02 18:55:43","Mwaimu Mtingele",,,Manual,81633,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Blocked,"2026-03-03 19:01:55","Mwaimu Mtingele",,,Manual,81634,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-03-03 19:03:45","Mwaimu Mtingele","TESTLINK CONNECTIVITY TEST",,Manual,81635,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Blocked,"2026-03-04 22:26:57","Mwaimu Mtingele",,,Manual,81636,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Blocked,"2026-03-04 22:32:27","Mwaimu Mtingele",,,Manual,81637,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Blocked,"2026-03-04 22:38:25","Mwaimu Mtingele",,,Manual,81638,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Blocked,"2026-03-05 13:49:48","Mwaimu Mtingele","TESTLINK INTEGRATION TEST",,Manual,81639,,FALSE,New,"Verify If card request can be saved without selecting card status"
"ARCHIVE > WORKING D > TESTING",ARC994:ATM-TC110,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-03-05 21:23:13","Mwaimu Mtingele","TESTLINK CONNECTIVITY TEST",,Manual,81640,,FALSE,New,"Verify If card request can be saved without selecting card status"
